postal_code,Judet,localitate,Tip Artera,Denumire,Zona de livrare,Livrare sambata
10334,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 20-22",0,DA
10335,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 24-26",0,DA
10336,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 28-30",0,DA
10337,Bucuresti,Bucuresti,Bulevard,"Magheru Gheorghe, g-ral. nr. 32-T",0,DA
10341,Bucuresti,Bucuresti,Strada,"Cretulescu Niculae, medic",0,DA
10342,Bucuresti,Bucuresti,Strada,Piata Amzei nr. 1-9,0,DA
10343,Bucuresti,Bucuresti,Strada,Piata Amzei nr. 11-T,0,DA
10344,Bucuresti,Bucuresti,Strada,Piata Amzei nr. 2-8,0,DA
10345,Bucuresti,Bucuresti,Strada,Piata Amzei nr. 10-T,0,DA
10346,Bucuresti,Bucuresti,Intrare,Amzei,0,DA
10351,Bucuresti,Bucuresti,Strada,Tache D. Ionescu nr. 1-3,0,DA
10352,Bucuresti,Bucuresti,Strada,Tache D. Ionescu nr. 5-11,0,DA
10353,Bucuresti,Bucuresti,Strada,Tache D. Ionescu nr. 13-T,0,DA
10354,Bucuresti,Bucuresti,Strada,Tache D. Ionescu nr. 2-8,0,DA
10355,Bucuresti,Bucuresti,Strada,Tache D. Ionescu nr. 10-T,0,DA
10361,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 1-15,0,DA
10362,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 17-31,0,DA
10363,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 33-T,0,DA
10364,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 2-20,0,DA
10365,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 22-34,0,DA
10366,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 36-40,0,DA
10367,Bucuresti,Bucuresti,Strada,Mendeleev D.I. nr. 42-T,0,DA
10371,Bucuresti,Bucuresti,Piata,Romana nr. 1-7,0,DA
10372,Bucuresti,Bucuresti,Piata,Romana nr. 9-T,0,DA
